OBJECTID,Date,Time,Location,City,Latitude,Longitude,Direction,Type,Lanes_Bloc,Involved,Tweet,Source
641,2018-09-11 00:00:00,10:42 PM,EDSA BEFORE MAGALLANES MRT,Makati City,14.540271,121.016837,NB,VEHICULAR ACCIDENT,1,VAN CAR,MMDA ALERT: Vehicular accident at EDSA before Magallanes MRT NB involving van car as of 10:42 PM.1  lane occupied. MMDA on site. #mmda,https://twitter.com/mmda/status/1039530454498435077
642,2018-09-11 00:00:00,4:02 AM,EDSA MAGALLANES FLYOVER,Makati City,14.540271,121.016837,NB,VEHICULAR ACCIDENT,1,CLOSED VAN AND CAR,MMDA ALERT: Vehicular accident at EDSA Magallanes F/O NB involving closed van and car as of 4:02 AM. 1 lane occupied. MMDA on site. #mmda,https://twitter.com/mmda/status/1039616572023701504
643,2018-09-11 00:00:00,5:27 AM,EDSA QUEZON AVE. FLYOVER,Mandaluyong,14.582431,121.054467,NB,VEHICULAR ACCIDENT,1,MC AND TAXI,MMDA ALERT: Vehicular accident at EDSA Quezon Ave. F/O NB involving MC and taxi as of 5:27 AM. 1 lane occupied. MMDA on site. #mmda,https://twitter.com/mmda/status/1039630840110542848
644,2018-09-11 00:00:00,5:31 AM,COMMONWEALTH EXTENSION JORDAN PLAINS,Quezon City,14.725306,121.04873,None,VEHICULAR ACCIDENT,1,MC,MMDA ALERT: Vehicular accident at Commonwealth extension infront Jordan Plains Subdivision involving MC as of 5:31… https://t.co/m8X6JMKyAn,https://twitter.com/mmda/status/1039632515990872064
645,2018-09-11 00:00:00,6:25 AM,E. RODRIGUEZ NEW YORK,Quezon City,14.623132,121.045141,EB,VEHICULAR ACCIDENT,1,VAN AND MC,MMDA ALERT: Vehicular accident at E. Rodriguez New York EB involving van and MC as of 6:25 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1039643247277002753
646,2018-09-11 00:00:00,7:05 AM,ROXAS BLVD. KALAW,Manila,14.579835,120.977331,NB,SELF ACCIDENT,1,MC,MMDA ALERT: Self accident at Roxas blvd. Kalaw NB involving MC as of 7:05 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1039654762252095490
647,2018-09-11 00:00:00,7:10 AM,MARCOS HIGHWAY EVANGELISTA,Marikina,14.623918,121.084722,EB,VEHICULAR ACCIDENT,1,VAN AND CAR,MMDA ALERT: Vehicular accident at Marcos Highway Evangelista EB involving van and car as of 7:10 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1039655127454429184
648,2018-09-11 00:00:00,7:12 AM,EDSA BUENDIA,Makati City,14.554949,121.034967,SB,VEHICULAR ACCIDENT,1,2 CARS,MMDA ALERT: Vehicular accident at EDSA Buendia SB involving 2 cars as of 7:12 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1039655833922035712
649,2018-09-11 00:00:00,7:16 AM,C5 BAGONG ILOG,Pasig City,14.564141,121.069619,SB,VEHICULAR ACCIDENT,1,SUV AND AUV,MMDA ALERT: Vehicular accident at C5 Bagong Ilog SB involving SUV and AUV as of 7:16 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1039657846772654080
650,2018-09-12 00:00:00,7:58 AM,KATIPUNAN MAGSAYSAY,Quezon City,14.657566,121.074433,SB,VEHICULAR ACCIDENT,1,TAXI AND MC,MMDA ALERT: Vehicular accident at Katipunan Magsaysay SB involving taxi and MC as of 7:58 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1039666433972613120
