OBJECTID,Date,Time,Location,City,Latitude,Longitude,Direction,Type,Lanes_Bloc,Involved,Tweet,Source
1,2018-08-20 00:00:00,7:55 AM,ORTIGAS EMERALD,Pasig City,14.586343,121.061481,EB,VEHICULAR ACCIDENT,1,TAXI AND MC,MMDA ALERT: Vehicular accident at Ortigas Emerald EB  involving taxi and MC as of 7:55 AM. 1 lane occupied. MMDA on site. #mmda,https://twitter.com/mmda/status/1031330201970532352
2,2018-08-20 00:00:00,8:42 AM,EDSA GUADIX,Mandaluyong,14.589432,121.057243,NB,STALLED L300 DUE TO MECHANICAL PROBLEM,1,L300,MMDA ALERT: Stalled L300 due to mechanical problem at EDSA Guadix NB as of 8:42 AM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1031346247745990656
3,2018-08-20 00:00:00,9:13 AM,EDSA ROCKWELL,Makati City,14.559818,121.040737,SB,VEHICULAR ACCIDENT,1,SUV AND L300,MMDA ALERT: Vehicular accident at EDSA Rockwell SB  involving SUV and L300 as of 9:13 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1031358966989615104
4,2018-08-20 00:00:00,8:42 AM,EDSA GUADIX,Mandaluyong,14.589432,121.057243,NB,STALLED L300 DUE TO MECHANICAL PROBLEM,1,L300,MMDA ALERT: Stalled L300 due to mechanical problem at EDSA Guadix NB as of 8:42 AM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1031359069653585920
5,2018-08-20 00:00:00,10:27 AM,ORTIGAS CLUB FILIPINO,San Juan,14.601846,121.046754,EB,VEHICULAR ACCIDENT,1,2 CARS,MMDA ALERT: Vehicular accident at Ortigas Club Filipino EB  involving 2 Cars as of 10:27 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1031371124842483712
6,2018-08-20 00:00:00,11:18 AM,C5 KALAYAAN,Makati City,14.556079,121.062936,SB,VEHICULAR ON FIRE,1,BUS,MMDA ALERT: Vehicular on fire at C5 Kalayaan SB involving bus as of 11:18 AM. 1 lane occupied BFP on site. #mmda,https://twitter.com/mmda/status/1031385843796074496
7,2018-08-20 00:00:00,12:33 PM,EDSA ORTIGAS ROBINSONS,Quezon City,14.592515,121.058225,NB,VEHICULAR ACCIDENT,1,CAR AND BUS,MMDA ALERT: Vehicular accident at EDSA Ortigas Robinsons NB  involving Car and bus as of 12:33 PM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1031400304917368832
8,2018-08-20 00:00:00,12:39 PM,EDSA LIGHT MALL,Mandaluyong,14.574014,121.04841,NB,MULTIPLE COLLISION,2,3 CARS,MMDA ALERT: Multiple collision at EDSA Light Mall NB involving 3 car's as of 12:39 PM. 2 lanes occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1031402505031151617
9,2018-08-20 00:00:00,12:39 PM,EDSA LIGHT MALL,Mandaluyong,14.574014,121.04841,NB,MULTIPLE COLLISION,2,3 CARS,MMDA ALERT: Multiple collision at EDSA Light Mall NB involving 3 car's as of 12:39 PM. 2 lanes occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1031405794124738560
10,2018-08-20 00:00:00,2:51 PM,EDSA FARMERS,Quezon City,14.619717,121.050978,NB,VEHICULAR ACCIDENT,1,BUS AND CAR,MMDA ALERT: Vehicular accident at EDSA Farmers NB involving bus and car as of 2:51pm PM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1031435510793756673
11,2018-08-20 00:00:00,4:14 PM,C5 LANUZA,Pasig City,14.577625,121.073462,SB,STALLED TRUCK DUE TO MECHANICAL PROBLEM,1,TRUCK,MMDA ALERT: Stalled Truck due to mechanical problem at C5 Lanuza SB as of 4:14 PM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1031454965225611264
12,2018-08-20 00:00:00,5:17 PM,C5 ATENEO KATIPUNAN,Quezon City,14.638481,121.07454,NB,MULTIPLE COLLISION C5ENEO KAT,1,"CLOSED VAN, TRUCK, CAR AND MC","MMDA ALERT: Multiple collision at C5 Ateneo Katipunan NB involving closed van, truck, car and MC as of 5:17 PM. 2 l… https://t.co/KV9s1aRW1s",https://twitter.com/mmda/status/1031481471083601920
13,2018-08-20 00:00:00,6:21 PM,EDSA BONI,Quezon City,14.638481,121.07454,NB,STALLED BUS DUE TO MECHANICAL DEFECT,1,BUS,MMDA ALERT: Stalled Bus due to mechanical defect at EDSA Boni NB as pf 6:21 PM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1031487629357764608
14,2018-08-20 00:00:00,7:19 PM,MARCOS HIGHWAY LRT SANTOLAN,Marikina,14.622242,121.086405,EB,VEHICULAR ACCIDENT,1,PUJ AND AUV,MMDA ALERT: Vehicular accident at Marcos Highway LRT Santolan EB involving PUJ and AUV as of 7:19PM. 1 lane occupie… https://t.co/fnFCyLIlmO,https://twitter.com/mmda/status/1031503746553901056
15,2018-08-20 00:00:00,7:44 PM,EDSA HERITAGE,Pasay City,14.537348,120.993593,NB,VEHICULAR ACCIDENT,1,TAXI AND TRUCK,MMDA ALERT: Vehicular accident at EDSA Heritage NB involving taxi and truck as of 7:44 PM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1031510935356157953
16,2018-08-20 00:00:00,8:58 PM,C5 ORTIGAS FLYOVER,Pasig City,14.589706,121.079945,NB,STALLED CLOSED VAN DUE TO MECHANICAL DEFECT,1,CLOSED VAN,MMDA ALERT: Stalled Closed van due to mechanical defect at C5 Ortigas flyover NB as of 8: 58 PM. 1 lane occupied. M… https://t.co/3A3PfaO62F,https://twitter.com/mmda/status/1031529829554741248
17,2018-08-20 00:00:00,8:58 PM,C5 ORTIGAS FLYOVER,Pasig City,14.589706,121.079945,NB,STALLED CLOSED VAN DUE TO MECHANICAL DEFECT,1,CLOSED VAN,MMDA ALERT: Stalled Closed van due to mechanical defect at C5 Ortigas flyover NB as of 8: 58 PM. 1 lane occupied. M… https://t.co/RMyhtGK32G,https://twitter.com/mmda/status/1031529850941521921
18,2018-08-20 00:00:00,7:05 AM,EDSA ERMIN GARCIA,Quezon City,14.628035,121.047229,SB,STALLED BUS DUE TO MECHANICAL PROBLEM,1,BUS,MMDA ALERT: Stalled bus due to mechanical problem at EDSA Ermin Garcia SB as of 7:05 AM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1031682905804656640
19,2018-08-21 00:00:00,7:05 AM,EDSA ERMIN GARCIA,Quezon City,14.628035,121.047229,SB,STALLED BUS DUE TO MECHANICAL PROBLEM,1,BUS,MMDA ALERT: Stalled bus due to mechanical problem at EDSA Ermin Garcia SB as of 7:05 AM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1031702349415215105
20,2018-08-21 00:00:00,9:50 AM,EDSA GUADALUPE PET PLANS,Makati City,14.566348,121.045356,SB,ONGOING DPWH ROAD PATCHING,1,None,MMDA ALERT: Ongoing DPWH road patching at EDSA Guadalupe Pet Plans SB as of 9:50 AM. 1 lane occupied.  MMDA on site. #mmda,https://twitter.com/mmda/status/1031722547341971458
21,2018-08-21 00:00:00,10:00 AM,COMMONWEALTH DILIMAN,Quezon City,14.659263,121.061261,EB,VEHICULAR ACCIDENT,1,2 MC,MMDA ALERT: Vehicular accident at Commonwealth Diliman EB  involving 2 MC as of 10:00 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1031727757347053568
22,2018-08-21 00:00:00,10:30 AM,ROXAS BACLARAN,Parañaque,14.528998,120.993456,SB,ONGOING DPWH FOOTBRIDGE PAINTING,1,None,MMDA ALERT: Ongoing DPWH Footbridge Painting at Roxas Baclaran SB as of 10:30 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1031731356345069568
23,2018-08-21 00:00:00,10:47 AM,C5 EASTWOOD,Quezon City,14.60728,121.078528,SB,VEHICULAR ACCIDENT,1,MC AND SUV,MMDA ALERT: Vehicular accident at C5 Eastwood SB  involving MC and SUV as of 10:47 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1031737089656639489
24,2018-08-21 00:00:00,12:05 PM,EDSA CABRERA,Pasay City,14.537979,121.004863,SB,ONGOING DPWH ROAD PATCHING,1,None,MMDA ALERT: Ongoing DPWH road patching at EDSA Cabrera SB as of 12:05 PM. 1 lane occupied.  MMDA on site. #mmda,https://twitter.com/mmda/status/1031756189321682944
25,2018-08-21 00:00:00,1:28 PM,LACSON F/O,Manila,14.609729,120.99272,SB,ONGOING DPWH ASPHALT LAYING,1,None,MMDA ALERT: Ongoing DPWH Asphalt laying at Lacson f/o SB as of 1:28 PM. 1 lane occupied.  MMDA on site. #mmda,https://twitter.com/mmda/status/1031778102949494785
26,2018-08-21 00:00:00,3:03 PM,NORTH AVE. AGHAM,Quezon City,14.653739,121.038708,EB.,VEHICULAR ACCIDENT,2,VAN AND PUJ,MMDA ALERT: Vehicular accident at North Ave. Agham EB. involving van and PUJ as of 3:03 PM. 2 lanes occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1031801277779308544
27,2018-08-21 00:00:00,6:20 AM,MARCOS HIGHWAY LIGAYA,Pasig City,14.618807,121.092719,WB,VEHICULAR ACCIDENT,1,VAN AND SUV,MMDA ALERT: Vehicular accident at Marcos Highway Ligaya WB  involvingVan and SUV as of 6:20 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032033284534857728
28,2018-08-21 00:00:00,6:30 AM,QUEZON AVENUE,Quezon City,14.639754,121.030335,WB,VEHICULAR ACCIDENT,1,BUS AND CAR,MMDA ALERT: Vehicular accident at Quezon Avenue WB  involving Bus and car as of 6:30 AM. 1 lane occupied MMDA on site. #mmd,https://twitter.com/mmda/status/1032033628551663616
29,2018-08-21 00:00:00,6:30 AM,QUEZON AVENUE,Quezon City,14.639754,121.030335,WB,VEHICULAR ACCIDENT,1,BUS AND CAR,MMDA ALERT: Vehicular accident at Quezon Avenue WB  involving Bus and car as of 6:30 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032033651066724352
30,2018-08-21 00:00:00,6:39 AM,EDSA AYALA TUNNEL,Makati City,14.550028,121.029058,NB,STALLED L300 DUE TO MECHANICAL PROBLEM,1,L300,MMDA ALERT: Stalled L300 due to mechanical problem at EDSA Ayala Tunnel NB as of 6:39 AM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1032035752467554304
31,2018-08-21 00:00:00,6:41 AM,EDSA NEPA Q-MART,Quezon City,14.627928,121.047259,NB,VEHICULAR ACCIDENT,1,BUS AND CAR,MMDA ALERT: Vehicular accident at EDSA Nepa Q-Mart NB  involving Bus and car as of  6:41 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032036229607448577
32,2018-08-21 00:00:00,6:42 AM,EDSA P. TUAZON,Quezon City,14.616404,121.052548,SB,VEHICULAR ACCIDENT,1,2 SUV'S,MMDA ALERT: Vehicular accident at EDSA P. Tuazon SB  involving 2 SUV's as of  6:42 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032036565961175040
33,2018-08-21 00:00:00,6:48 AM,C5 GREENMEADOWS,Quezon City,14.601442,121.079351,SB,VEHICULAR ACCIDENT,1,CAR AND MC,MMDA ALERT: Vehicular accident at C5 Greenmeadows SB involving car and Mc as of  6:48 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032040486033219585
34,2018-08-21 00:00:00,7:16 AM,COMMONWEALTH LUZON,Quezon City,14.66533,121.070469,WB,VEHICULAR ACCIDENT,1,SUV AND PUJ,MMDA ALERT: Vehicular accident at Commonwealth Luzon WB involving SUV and PUJ as of  7:16 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032046835903295488
35,2018-08-21 00:00:00,7:20 AM,LUZON F/O,Quezon City,14.665241,121.070339,SB,VEHICULAR ACCIDENT,1,CAR AND SUV,MMDA ALERT: Vehicular accident at Luzon f/o SB involving car and SUV as of  7:20 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032047326804598784
36,2018-08-21 00:00:00,7:21 AM,ELLIPTICAL,Quezon City,14.65424,121.049788,DAR,VEHICULAR ACCIDENT,1,CAR AND VAN,MMDA ALERT: Vehicular accident at Elliptical DAR involving car and van as of 7:21 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032048636073455616
37,2018-08-21 00:00:00,7:27 AM,EDSA P. TUAZON TUNNEL,Quezon City,14.616404,121.052548,SB,STALLED BUS DUE TO MECHANICAL PROBLEM,1,BUS,MMDA ALERT: Stalled bus due to mechanical problem at EDSA P. Tuazon tunnel SB as of 7:27 AM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1032050747511201792
38,2018-08-22 00:00:00,8:15 AM,EDSA ESTRELLA,Makati City,14.559818,121.040737,SB,VEHICULAR ACCIDENT,1,CAR AND AUV,MMDA ALERT: Vehicular accident at EDSA Estrella SB involving car and AUV as of 8:15 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032062432057778177
39,2018-08-22 00:00:00,8:35 AM,EDSA RELIANCE,Mandaluyong,14.576702,121.050365,SB,VEHICULAR ACCIDENT,1,CAR AND MC,MMDA ALERT: Vehicular accident at EDSA Reliance SB involving car and MC as of 8:35 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032067432230281217
40,2018-08-22 00:00:00,8:58 AM,QUEZON AVE. AGHAM,Quezon City,14.646323,121.040861,WB,VEHICULAR ACCIDENT,1,CAR AND AUV,MMDA ALERT: Vehicular accident at Quezon Ave. Agham WB involving car and AUV as of 8:58 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032072441852354561
41,2018-08-22 00:00:00,8:59 AM,ROXAS BLVD. BUENDIA AVE.,Pasay City,14.552294,120.989491,NB,VEHICULAR ACCIDENT,1,CAR AND BUS,MMDA ALERT: Vehicular accident at Roxas blvd. Buendia Ave. NB involving car and bus as of 8:59 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032075954338680832
42,2018-08-22 00:00:00,9:07 AM,MINDANAO ROAD 20,Quezon City,14.671786,121.032319,NB,ONGOING DPWH ROAD PATCHING,1,None,MMDA ALERT: Ongoing DPWH Road Patching at Mindanao road 20 NB as of 9:07 AM. 1 lane occupied. MMDA on site. #mmda,https://twitter.com/mmda/status/1032076101613281280
43,2018-08-22 00:00:00,9:32 AM,B. SERRANO KATIPUNAN TUNNEL,Quezon City,14.61474,121.070685,SB,STALLED VAN DUE TO MECHANICAL PROBLEM,1,VAN,MMDA ALERT: Stalled van due to mechanical problem at B. Serrano Katipunan tunnel SB as of 9:32 AM. 1 lane occupied.… https://t.co/qTdfOdN4AQ,https://twitter.com/mmda/status/1032081665772769280
44,2018-08-22 00:00:00,10:15 AM,EDSA BUENDIA,Makati City,14.554949,121.034967,SB,VEHICULAR ACCIDENT,1,TAXI AND BUS,MMDA ALERT: Vehicular accident at EDSA Buendia SB involving taxi and bus as of 10:15 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032094428347822081
45,2018-08-22 00:00:00,10:37 AM,EDSA BUENDIA SPLIT,Makati City,14.555822,121.035928,SB,VEHICULAR ACCIDENT,1,CAR AND SUV,MMDA ALERT: Vehicular accident at EDSA Buendia Split SB involving car and SUV as of 10:37 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032099200312401925
46,2018-08-22 00:00:00,10:51 AM,EDSA PET PLANS,Makati City,14.561892,121.04307,SB,VEHICULAR ACCIDENT,1,CAR AND VAN,MMDA ALERT: Vehicular accident at EDSA Pet Plans SB involving car and van as of 10:51 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032099414154735618
47,2018-08-22 00:00:00,10:58 AM,C5 LIBIS,Quezon City,14.603015,121.079256,NB,VEHICULAR ACCIDENT,1,PICK UP ELF TRUCK,MMDA ALERT: Vehicular accident at C5 Libis NB involving pick up elf truck as of 10:58 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032103520558673921
48,2018-08-22 00:00:00,1:40 PM,EDSA STARMALL,Mandaluyong,14.582431,121.054467,SB,VEHICULAR ACCIDENT,1,2 BUSES,MMDA ALERT: Vehicular accident at EDSA Starmall SB involving 2 buses as of 1:40 PM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032142239579815936
49,2018-08-22 00:00:00,2:01 PM,ELLIPTICAL,Quezon City,14.65424,121.049788,None,STALLED JEEP DUE TO MECHANICAL DEFECT,1,JEEP,MMDA ALERT: Stalled jeep due to mechanical defect at Elliptical Road frontng NHA as of 2:01 PM. 1 lane occupied. MM… https://t.co/jKNJ0qL96Y,https://twitter.com/mmda/status/1032148785902759936
50,2018-08-22 00:00:00,2:05 PM,EDSA QUEZON AVENUE FLYOVER,Mandaluyong,14.582431,121.054467,NB,VEHICULAR ACCIDENT,1,MOTORCYCLE,MMDA ALERT: Vehicular accident at EDSA Quezon avenue flyover NB involving motorcycle  as of 2:05 PM. 1 lane occupie… https://t.co/slXbNZ5r7J,https://twitter.com/mmda/status/1032150340919939073
51,2018-08-22 00:00:00,2:13 PM,ELLIPTICAL,Quezon City,14.65424,121.049788,None,VEHICULAR ACCIDENT,1,VAN AND CAR,MMDA ALERT: Vehicular accident at Elliptical Road fronting NHA involving van and car as of 2:13 PM. 1 lane occupied… https://t.co/lORwYaMwWT,https://twitter.com/mmda/status/1032151572782837760
52,2018-08-22 00:00:00,2:21 PM,ROXAS BLVD. P.OCAMPO,Pasay City,14.559551,120.987075,SB,MULTIPLE COLLISION,1,"2 VAN, AUV AND TAXI","MMDA ALERT: Multiple collision at Roxas Blvd. P.Ocampo SB involving 2 van, AUV and taxi as of 2:21 PM. 1 lane occup… https://t.co/9kJERH2h1f",https://twitter.com/mmda/status/1032154510578212864
53,2018-08-22 00:00:00,2:43 PM,AURORA BLVD. KATIPUNAN,Quezon City,14.631692,121.074217,EB,STALLED TRUCK DUE TO MECHANICAL DEFECT,1,TRUCK,MMDA ALERT: Stalled truck due to mechanical defect at Aurora Blvd. Katipunan EB as of 2:43 PM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1032158101107961857
54,2018-08-22 00:00:00,2:44 PM,KATIPUNAN ATENEO,Quezon City,14.638481,121.07454,SB,STALLED TRUCK DUE TO MECHANICAL DEFECT KATIPUNAN,1,TRUCK,MMDA ALERT: Stalled truck due to mechanical defect at Katipunan Ateneo SB as of 2:44 PM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1032159302935404544
55,2018-08-22 00:00:00,2:50 PM,AURORA BLVD. KATIPUNAN,Quezon City,14.631692,121.074217,WB,VEHICULAR ACCIDENT,1,VAN AND MOTORCYCLE,MMDA ALERT: Vehicular accident at Aurora Blvd. Katipunan WB involving van and Motorcycle as of 2:50 PM. 1 lane occu… https://t.co/CuWOcRCENk,https://twitter.com/mmda/status/1032159652669079552
56,2018-08-22 00:00:00,2:50 PM,MARCOS HIGHWAY TOWN AND COUNTRY,None,14.621658,121.106498,EB,VEHICULAR ACCIDENT,1,ELF TRUCK AND MOTORCYCLE,MMDA ALERT: Vehicular accident at Marcos Highway Town and Country EB involving Elf truck and motorcycle as of 3:22… https://t.co/02B3BcU8OX,https://twitter.com/mmda/status/1032173330575413248
57,2018-08-22 00:00:00,3:31 PM,EDSA MONTE DE PIEDAD,Quezon City,14.62385,121.049123,None,STALLED BUS DUE TO MECHANICAL DEFECT,1,BUS,MMDA ALERT: Stalled bus due to mechanical defect at  EDSA Monte De Piedad as of 3:31 PM. 1 lane occupied. MMDA enforcer on site. #MMDA,https://twitter.com/mmda/status/1032179817188286464
58,2018-08-22 00:00:00,3:47 PM,COMMONWEALTH ATHERTON,Quezon City,14.708553,121.062717,EB,VEHICULAR ACCIDENT COMMONWEALTH,1,MOTORCYCLE AND PEDESTRIAN,MMDA ALERT: Vehicular accident at Commonwealth Atherton EB involving motorcycle and pedestrian as of 3:47 PM. 1 lan… https://t.co/5T7eF6NIzd,https://twitter.com/mmda/status/1032179863287816192
59,2018-08-22 00:00:00,4:18 PM,EDSA BUENDIA,Makati City,14.554949,121.034967,NB,VEHICULAR ACCIDENT,1,CAR AND VAN,MMDA ALERT: Vehicular accident at EDSA Buendia NB involving car and van as of 4:18 PM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1032188783045705728
60,2018-08-22 00:00:00,4:19 PM,KATIPUNAN CP GARCIA,Quezon City,14.648291,121.0744,NB,VEHICULAR ACCIDENT KAT,1,CAR AND TAXI,MMDA ALERT: Vehicular accident at Katipunan CP Garcia NB involving car and taxi as of 4:19 PM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1032189901112926208
61,2018-08-22 00:00:00,4:40 PM,C5 CALLE INDUSTRIA,Quezon City,14.605472,121.079122,NB,VEHICULAR ACCIDENT,1,CAR AND TAXI,MMDA ALERT: Vehicular accident at C5 Calle Industria NB involving car and taxi as of 4:40 PM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1032192555335606277
62,2018-08-22 00:00:00,4:44 PM,C3 A.BONIFACIO,Quezon City,14.643822,120.993705,WB,STALLED TRUCK DUE TO MECHANICAL PROBLEM,1,TRUCK,MMDA ALERT: Stalled truck due to mechanical problem at C3 A.Bonifacio WB as of 4:44 PM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1032192979656560640
63,2018-08-22 00:00:00,5:24 PM,EDSA STARMALL SERVICE ROAD,Mandaluyong,14.582431,121.054467,SB,VEHICULAR ACCIDENT,2,2 BUS,MMDA ALERT: Vehicular accident at EDSA Starmall Service Road SB involving 2 bus as of 5:24 PM. 2 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1032199257392992256
64,2018-08-22 00:00:00,5:58 PM,EDSA WHITEPLAINS,Quezon City,14.599652,121.05969,NB,STALLED BUS DUE TO MECHANICAL PROBLEM,1,BUS,MMDA ALERT: Stalled bus due to mechanical problem at EDSA Whiteplains NB as of 5:58 PM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1032206556043984897
65,2018-08-22 00:00:00,6:02 PM,EDSA GUDALUPE,Makati City,14.566348,121.045356,NB,STALLED BUS DUE TO MECHANICAL PROBLEM,1,BUS,MMDA ALERT: Stalled bus due to mechanical problem at EDSA Gudalupe NB as of 6:02 PM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1032208344159678465
66,2018-08-22 00:00:00,6:24 PM,EAST SERVICE ROAD PNR RAILROAD,Parañaque,14.499519,121.039452,SB,STALLED TRUCK DUE TO MECHANICAL PROBLEM,1,TRUCK,MMDA ALERT: Stalled Truck due to mechanical problem at East service road PNR railroad SB as of 6:24 PM. 1 lane occu… https://t.co/JeaqOebiCD,https://twitter.com/mmda/status/1032214612433727488
67,2018-08-22 00:00:00,8:07 PM,QUEZON AVENUE ARANETA TUNNEL,Quezon City,14.628351,121.013365,EB,STALLED CAR DUE TO FLAT TIRE,1,CAR,MMDA ALERT: Stalled car due to flat tire at Quezon Avenue Araneta Tunnel EB as of 8:07 PM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1032241462384025602
68,2018-08-22 00:00:00,12:07 AM,COMMONWEALTH LUZON,Quezon City,14.66533,121.070469,None,VEHICULAR ACCIDENT,1,MC AND CAR,MMDA ALERT: Vehicular accident at Commonwealth Luzon infront of Loyola Chapel involving MC and car as of 12:07 AM 1… https://t.co/ZG2HmoNPGA,https://twitter.com/mmda/status/1032301266766942208
69,2018-08-22 00:00:00,5:18 AM,EDSA GUADALUPE,Makati City,14.566348,121.045356,NB,STALLED BUS DUE TO MECHANICAL PROBLEM,1,BUS,MMDA ALERT: Stalled bus due to mechanical problem at EDSA Guadalupe NB as of 5:18 AM. 1 lane occupied. MMDA on site. #mmda,https://twitter.com/mmda/status/1032377836789673984
70,2018-08-22 00:00:00,5:13 AM,ORTIGAS GREENHILLS,Makati City,14.566348,121.048658,None,STALLED DUMP TRUCK DUE TO MECHANICAL PROBLEM,1,DUMP TRUCK,MMDA ALERT: Stalled dump truck due to mechanical problem at Ortigas Greenhills as of 5:13 AM. 1 lane occupied. MMDA on site. #mmda,https://twitter.com/mmda/status/1032378391104696320
71,2018-08-23 00:00:00,7:54 AM,EDSA MRT SANTOLAN,Makati City,14.566348,121.055583,SB,VEHICULAR ACCIDENT,1,SUV AND MC,MMDA ALERT: Vehicular accident at EDSA MRT Santolan  SB involving SUV and MC as of 7:54 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032421427893260288
72,2018-08-23 00:00:00,8:08 AM,"QUEZON AVE, ARANETA TUNNEL",Quezon City,14.628351,121.013365,EB,VEHICULAR ACCIDENT,1,VIOS AND MC,"MMDA ALERT: Vehicular accident at Quezon Ave, Araneta tunnel EB involving vios and MC as of 8:08 AM. 1 lane occupied MMDA on site. #mmda",https://twitter.com/mmda/status/1032421663122415616
73,2018-08-23 00:00:00,8:32 AM,EDSA TRINOMA,Quezon City,14.652928,121.031852,NB,STALLED BUS DUE TO MECHANICAL PROBLEM,1,BUS,MMDA ALERT: Stalled bus due to mechanical problem at EDSA Trinoma NB as of 8:32 AM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1032426682076946432
74,2018-08-23 00:00:00,8:32 AM,EDSA TRINOMA,Quezon City,14.652928,121.031852,NB,STALLED BUS DUE TO MECHANICAL PROBLEM,1,BUS,MMDA ALERT: Stalled bus due to mechanical problem at EDSA Trinoma NB as of 8:32 AM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1032428111516725248
75,2018-08-23 00:00:00,8:45 AM,C5 BAGONG ILOG,Pasig City,14.564141,121.069619,SB,VEHICULAR ACCIDENT,1,INNOVA AND MC,MMDA ALERT: Vehicular accident at C5 Bagong Ilog SB  involving innova and MC as of 8:45 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032430742184194048
76,2018-08-23 00:00:00,8:53 AM,EDSA MAGALLANES F/O,Makati City,14.540271,121.016837,NB,VEHICULAR ACCIDENT,2,"INNOVA, CAR AND MC","MMDA ALERT: Vehicular accident at EDSA Magallanes F/O NB involving innova, car and MC as of 8:53 AM. 2 lanes occupied MMDA on site. #mmda",https://twitter.com/mmda/status/1032434125863444480
77,2018-08-23 00:00:00,9:22 AM,EDSA P. TUAZON TUNNEL,Quezon City,14.616404,121.052548,SB,STALLED CAR DUE TO MECHANICAL PROBLEM,1,CAR,MMDA ALERT: Stalled car due to mechanical problem at EDSA P. Tuazon tunnel SB as of 9:22 AM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1032440562505244672
78,2018-08-23 00:00:00,9:29 AM,LACSON FAJARDO,Manila,14.607495,120.994955,NB,VEHICULAR ACCIDENT,1,"INNOVA, CAR AND PUJ","MMDA ALERT: Vehicular accident at Lacson Fajardo NB involving innova, car and PUJ as of 9:29 AM. 1 lane occupied MMDA on site. #mmda",https://twitter.com/mmda/status/1032441161967841280
79,2018-08-23 00:00:00,9:39 AM,EDSA BUENDIA,Makati City,14.554949,121.034967,SB,ONGOING ANTI SMOKE BELCHING OPERATION,1,None,MMDA ALERT: Ongoing Anti Smoke belching operation at EDSA Buendia SB as of 9:39 AM. 1 lane occupied.  MMDA on site. #mmda,https://twitter.com/mmda/status/1032444599342518272
